,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
547,Jacareacanga,-6.22,79.26,84.0,32.0,2.06
548,Turukhansk,65.8,26.84,92.0,80.0,9.22
550,Agadez,16.97,76.02,17.0,0.0,12.57
551,Beringovskiy,63.05,3.12,91.0,68.0,21.18
552,Port Keats,-14.25,84.44,97.0,8.0,7.65
553,Trinidad,-33.52,63.33,89.0,0.0,8.43
554,Lumphat,13.5,74.49,72.0,12.0,3.74
555,Aktau,43.65,42.8,100.0,0.0,13.42
556,Saint-Georges,46.12,32.0,78.0,76.0,3.0
557,Kichmengskiy Gorodok,59.99,24.54,92.0,88.0,2.73
558,Grand Gaube,-20.01,73.2,83.0,20.0,5.82
559,Sol-Iletsk,51.16,33.41,92.0,92.0,4.63
560,Fort Nelson,58.81,44.6,33.0,75.0,5.82
561,Kimparana,12.83,71.39,30.0,0.0,7.87
562,Isangel,-19.55,86.0,74.0,40.0,3.36
563,Yerbogachen,61.28,20.04,80.0,68.0,6.2
564,Barahona,18.21,77.0,69.0,40.0,14.99
565,Kangaatsiaq,68.31,8.97,100.0,48.0,8.43
566,Haapiti,-17.57,84.09,70.0,75.0,8.05
567,Asosa,10.07,66.84,56.0,20.0,2.62
568,Yugo-Kamskiy,57.7,21.2,85.0,40.0,8.95
569,Tygda,53.11,18.42,54.0,20.0,3.4
570,Mayor Pablo Lagerenza,-19.93,75.03,85.0,12.0,7.54
571,Waipawa,-39.94,63.0,90.0,76.0,7.65
572,Sistranda,63.73,34.47,97.0,75.0,11.41
573,Avera,33.19,65.59,59.0,1.0,5.82
574,Chapada Dos Guimaraes,-15.46,84.2,79.0,40.0,4.7
576,Burgeo,47.61,28.68,100.0,0.0,15.26
577,Lieksa,63.32,19.32,88.0,80.0,6.42
580,Faanui,-16.48,83.67,100.0,36.0,14.7
581,Gambo,11.96,76.2,27.0,0.0,11.68
582,Karsava,56.78,33.63,95.0,92.0,11.9
583,Mitsamiouli,-11.38,81.11,100.0,0.0,9.55
584,Broken Hill,-31.97,69.8,26.0,0.0,9.17
585,Menuma,36.22,46.9,42.0,20.0,6.93
586,Tezu,27.93,53.61,82.0,64.0,1.83
587,Miles City,46.41,30.69,86.0,75.0,21.92
588,Nanortalik,60.14,25.89,100.0,12.0,27.89
589,Le Vauclin,14.55,76.21,78.0,20.0,6.93
590,Nouadhibou,20.93,66.2,72.0,0.0,17.22
591,Kutum,14.2,62.34,20.0,0.0,10.11
593,Koumac,-20.56,82.86,71.0,32.0,3.51
595,Kalmunai,7.42,73.77,96.0,64.0,3.74
597,Doha,25.29,65.3,82.0,0.0,5.82
598,Charters Towers,-20.07,79.53,86.0,8.0,4.63
599,Dolinsk,47.32,28.4,86.0,75.0,17.9
600,Riyadh,24.63,68.0,14.0,0.0,11.41
601,Mandiana,10.62,74.72,29.0,0.0,9.55
602,Tungor,53.39,21.48,94.0,56.0,9.44
603,Perevolotskiy,51.88,32.37,97.0,92.0,7.43
604,Rupert,42.62,39.83,44.0,90.0,14.99
605,Dongli,24.18,66.2,77.0,20.0,2.24
606,Leshukonskoye,64.9,4.79,68.0,0.0,2.39
607,Royan,45.62,47.21,81.0,0.0,8.05
608,Muroto,33.37,50.0,46.0,40.0,1.12
609,Grand-Santi,4.27,80.16,68.0,88.0,3.4
610,Mangrol,25.33,68.0,72.0,75.0,4.97
611,Chunskiy,56.08,34.08,87.0,92.0,5.97
612,Gamba,28.28,-8.27,35.0,20.0,2.06
613,Stettler,52.32,36.0,52.0,0.0,3.0
614,Kilindoni,-7.91,82.05,100.0,92.0,10.67
615,Moose Factory,51.26,39.2,80.0,75.0,5.82
616,Vao,59.1,32.55,94.0,88.0,10.78
617,Levelland,33.59,59.0,30.0,75.0,29.97
618,Vernon,50.27,42.01,56.0,20.0,9.17
619,Shreveport,32.52,56.39,93.0,90.0,10.29
620,Lhokseumawe,5.18,81.24,100.0,20.0,2.17
621,Vostok,46.45,23.87,80.0,68.0,2.95
622,Kitimat,54.02,41.0,75.0,90.0,11.41
623,Rio Rancho,35.27,42.82,36.0,75.0,28.86
624,Saldanha,41.42,32.1,85.0,0.0,3.96
625,Hervey Bay,-25.3,85.17,66.0,40.0,6.93
626,Codo,-8.13,80.12,96.0,68.0,3.96
627,Arman,59.7,7.98,71.0,0.0,3.85
628,Oranjemund,-28.55,62.39,95.0,92.0,14.14
629,Port Pirie,-33.18,73.4,43.0,0.0,8.05
631,Bambanglipuro,-7.95,75.57,93.0,48.0,3.96
632,Naklo Nad Notecia,53.14,42.96,66.0,0.0,12.75
633,Broome,52.47,44.29,81.0,48.0,11.41
634,Mayo,63.59,37.4,37.0,90.0,5.82
635,Tateyama,36.66,42.31,96.0,75.0,4.7
636,Aklavik,68.22,-5.81,70.0,75.0,5.82
637,Bafoulabe,13.81,72.92,26.0,0.0,10.11
638,Te Anau,-45.41,49.56,75.0,36.0,3.51
639,Canton,40.8,50.88,57.0,40.0,4.7
640,Tapes,-30.67,70.31,76.0,48.0,8.43
641,Brae,60.4,39.47,86.0,92.0,9.17
643,Galle,29.74,77.61,44.0,1.0,12.75
644,Alexander City,32.94,68.16,56.0,40.0,6.93
645,Tutoia,-2.76,76.07,99.0,80.0,3.29
646,Kastamonu,41.38,30.62,93.0,68.0,3.29
647,Kyabe,9.45,80.39,24.0,48.0,9.33
648,Phuket,7.89,75.78,83.0,20.0,4.7
649,Kudahuvadhoo,2.67,83.72,100.0,80.0,5.97
650,Minden,38.95,33.62,24.0,1.0,8.05
651,Soyaux,45.64,44.69,93.0,0.0,3.36
652,Paithan,19.48,73.4,46.0,20.0,6.2
654,Wicklow,53.0,46.8,87.0,75.0,27.51
655,Thai Nguyen,21.59,73.4,73.0,75.0,2.24
656,Pangnirtung,66.15,-9.75,51.0,24.0,5.41
657,Juneau,58.3,39.2,80.0,90.0,20.8
658,Pulandian,39.4,46.4,22.0,0.0,4.47
659,Trelleborg,55.38,40.35,93.0,75.0,6.93
660,Mana,43.52,37.31,78.0,0.0,2.24
661,Osoyoos,49.03,39.4,56.0,20.0,8.05
662,Shibetsu,44.15,26.6,92.0,75.0,4.7
663,Santa Cruz,36.97,60.3,26.0,1.0,13.87
664,Barquisimeto,10.07,80.12,49.0,64.0,7.31
665,Faya,18.39,61.72,63.0,0.0,5.82
666,Yoichi,43.19,30.2,63.0,75.0,1.12
667,Tyrma,50.04,24.14,87.0,32.0,3.62
668,Tarko-Sale,64.92,30.99,93.0,88.0,11.68
670,Arequipa,-16.4,59.0,82.0,40.0,8.05
672,Yantzaza,-3.83,77.0,61.0,40.0,8.05
673,Mecca,21.43,75.12,69.0,0.0,10.0
674,Ormara,25.21,65.54,94.0,0.0,6.08
675,Chenzhou,25.81,55.59,99.0,92.0,6.98
676,Mednogorsk,51.41,34.49,93.0,92.0,11.01
677,Yegorlykskaya,46.56,27.15,90.0,0.0,7.2
678,Pacasmayo,-7.4,72.51,93.0,12.0,11.23
679,Kargil,34.56,1.05,80.0,64.0,1.61
680,Ballangen,68.34,26.85,54.0,92.0,6.93
681,Tianpeng,28.88,51.0,100.0,92.0,11.23
682,Medicine Hat,50.04,34.39,74.0,20.0,8.05
684,Ibirama,-27.05,77.0,99.0,32.0,2.95
685,Dongsheng,29.72,49.83,95.0,68.0,10.33
686,Ranong,9.96,73.4,94.0,0.0,6.98
687,Kuusamo,65.96,12.2,78.0,40.0,9.17
688,Taltal,-25.41,61.8,82.0,0.0,2.51
689,Medina,24.47,75.2,57.0,0.0,12.75
690,Tevaitoa,-16.78,82.95,100.0,80.0,14.58
691,Veraval,49.65,44.94,75.0,90.0,14.99
692,Den Helder,52.96,45.18,87.0,90.0,19.46
693,Black River,18.03,77.22,65.0,20.0,10.29
694,Amberley,-43.15,61.7,55.0,88.0,4.7
698,Dunedin,-45.87,57.0,64.0,92.0,3.0
699,Markova,52.21,30.09,100.0,75.0,4.47
700,Selma,36.57,59.63,44.0,1.0,5.82
701,Eenhana,-17.48,82.4,34.0,36.0,9.17
702,Vestmanna,62.16,37.4,86.0,68.0,13.87
703,Terme,41.21,42.93,81.0,75.0,4.7
704,Starosubkhangulovo,53.1,34.35,93.0,92.0,4.63
705,Quanzhou,24.9,66.2,77.0,20.0,2.24
706,Ixtapa,20.71,75.99,69.0,5.0,13.87
707,Ulaanbaatar,47.92,15.8,61.0,0.0,2.24
708,Truckee,39.33,35.74,24.0,1.0,8.05
709,Mandalgovi,45.76,16.67,65.0,0.0,11.45
711,Rorvik,64.86,33.01,70.0,88.0,8.01
712,Ust-Tsilma,65.44,19.01,90.0,56.0,4.63
713,Zambezi,-13.55,66.89,91.0,80.0,3.96
714,Xalpatlahuac,17.47,77.73,34.0,0.0,3.4
715,Koutsouras,35.03,55.99,71.0,36.0,17.0
716,Shar,7.3,80.39,74.0,8.0,9.22
718,Tocopilla,-22.09,66.03,96.0,0.0,4.18
719,Kupang,-10.16,80.6,94.0,90.0,2.24
720,Jiangyou,31.78,38.36,71.0,0.0,3.62
721,Grand Forks,47.91,28.22,100.0,1.0,13.87
722,Iquique,-20.22,69.8,73.0,90.0,11.41
723,Lucan,53.36,46.35,87.0,75.0,27.51
